hotel,branch,year,quarter,title,value_or_%
Hotel Sogo,S02,2024,Q3,ANOG,291
Hotel Sogo,S02,2024,Q3,TOR,2
Hotel Sogo,S02,2024,Q3,TFBOG,7887
Hotel Sogo,S02,2024,Q3,AFBOG,86
Hotel Sogo,S02,2024,Q3,%FBOG,0.29
Hotel Sogo,S02,2024,Q3,ARPS/G,710
Hotel Sogo,S02,2024,Q3,AFBPS/FBOG,337
Hotel Sogo,S02,2024,Q3,AFPS/G,99
Hotel Sogo,S02,2024,Q3,SPR,1732
Hotel Sogo,S02,2024,Q3,APS/G,809
Hotel Sogo,S02,2024,Q3,HPR,12
Hotel Sogo,S02,2024,Q3,ALOS,6
Hotel Sogo,S02,2024,Q3,Occupancy,0.5
Hotel Sogo,S02,2024,Q3,NOD,92
Hotel Sogo,S02,2024,Q3,Actual Hours,150577
Hotel Sogo,S02,2024,Q3,Paid Hours,174407
Hotel Sogo,S02,2024,Q3,Room,19009729
Hotel Sogo,S02,2024,Q3,F&B - Rooms,2660527
Hotel Sogo,S02,2024,Q3,F&B - Function,-
Hotel Sogo,S02,2024,Q3,F&B - Outlet,-
Hotel Sogo,S02,2024,Q3,Total Sales,21670256
Hotel Sogo,S02,2024,Q3,Average DRS,613217
Hotel Sogo,S02,2024,Q3,Average DFS,85823
Hotel Sogo,S02,2024,Q3,ADS,235546
Hotel Sogo,S02,2024,Q3,Quarterly Weighted,32
Hotel Sogo,S02,2024,Q4,ANOR,136
Hotel Sogo,S02,2024,Q4,TNOG,28855
Hotel Sogo,S02,2024,Q4,ANOG,314
Hotel Sogo,S02,2024,Q4,TOR,2
Hotel Sogo,S02,2024,Q4,TFBOG,8945
Hotel Sogo,S02,2024,Q4,AFBOG,97
Hotel Sogo,S02,2024,Q4,%FBOG,0.31
Hotel Sogo,S02,2024,Q4,ARPS/G,712
Hotel Sogo,S02,2024,Q4,AFBPS/FBOG,330
Hotel Sogo,S02,2024,Q4,AFPS/G,102
Hotel Sogo,S02,2024,Q4,SPR,1878
Hotel Sogo,S02,2024,Q4,APS/G,815
Hotel Sogo,S02,2024,Q4,HPR,13
Hotel Sogo,S02,2024,Q4,ALOS,5
Hotel Sogo,S02,2024,Q4,Occupancy,0.52
Hotel Sogo,S02,2024,Q4,NOD,92
